name,age,age_group,bodyweight,snatch_bw,candj_bw,squat_bw,deadlift_bw,snatch_to_cj,cj_to_squat,strength_score,snatch_level,weakness_flag,overall_rank,percentile_rank
Istvan Dioszegi,31.0,Senior,210.0,1.83,2.15,3.14,2.93,0.85,0.68,10.06,Elite,Weak Clean & Jerk,80,3
steve tamborra,42.0,Masters I,205.0,1.73,2.12,2.98,3.17,0.82,0.71,10.0,Elite,No Major Imbalance,81,3
Yetzhari Bustamante,27.0,Senior,141.0,1.72,2.11,3.13,2.94,0.82,0.68,9.9,Elite,Weak Clean & Jerk,82,3
Ryan Fischer,28.0,Senior,170.0,1.59,1.85,2.94,3.44,0.86,0.63,9.82,Elite,Weak Clean & Jerk,83,3
Acoran Hernandez,24.0,Senior,158.0,1.84,2.23,2.93,2.78,0.82,0.76,9.79,Elite,No Major Imbalance,84,3
Deric Maruquin,33.0,Senior,160.0,1.7,2.06,2.86,3.16,0.82,0.72,9.78,Elite,No Major Imbalance,85,3
Sean Thomson,28.0,Senior,160.0,1.56,2.06,2.91,3.25,0.76,0.71,9.78,Elite,No Major Imbalance,85,3
Jhonny Bini,31.0,Senior,93.0,2.61,1.89,3.32,1.89,1.38,0.57,9.72,Elite,Weak Clean & Jerk,87,3
Brian Freeman,23.0,Senior,190.0,1.34,1.76,3.16,3.45,0.76,0.56,9.71,Elite,Weak Clean & Jerk,88,3
John DeHaemers,40.0,Masters I,150.0,4.23,1.37,1.87,2.23,3.1,0.73,9.7,Elite,No Major Imbalance,89,3
Seth Conder,24.0,Senior,200.0,1.52,2.0,2.73,3.38,0.76,0.73,9.63,Elite,No Major Imbalance,90,3
Jacob Alstadt,29.0,Senior,195.0,3.67,1.23,1.95,2.74,2.98,0.63,9.59,Elite,Weak Clean & Jerk,91,4
Ezekiel Staples,30.0,Senior,225.0,1.62,1.87,3.42,2.67,0.87,0.55,9.58,Elite,Weak Clean & Jerk,92,4
Ernesto Lobaina Rodriguez,19.0,Senior,150.0,1.8,2.13,2.57,3.08,0.85,0.83,9.57,Elite,No Major Imbalance,93,4
James Townsend,30.0,Senior,195.0,1.67,1.87,2.69,3.33,0.89,0.7,9.56,Elite,Weak Clean & Jerk,94,4
Mathias Strøm,24.0,Senior,154.0,1.58,1.94,2.79,3.22,0.82,0.69,9.53,Elite,Weak Clean & Jerk,95,4
Vladislav Rigert,30.0,Senior,229.0,1.69,2.13,2.69,2.98,0.79,0.79,9.49,Elite,No Major Imbalance,96,4
Adam Cantrell,26.0,Senior,200.0,1.45,1.77,3.0,3.25,0.82,0.59,9.47,Elite,Weak Clean & Jerk,97,4
Spencer Arnold,27.0,Senior,152.0,1.78,2.25,2.76,2.68,0.79,0.82,9.47,Elite,No Major Imbalance,98,4
Brendan Southwick,31.0,Senior,174.0,1.78,2.03,2.53,3.04,0.88,0.8,9.38,Elite,No Major Imbalance,99,4
Stephen Johnson,27.0,Senior,180.0,1.5,1.69,3.36,2.81,0.89,0.5,9.36,Elite,Weak Clean & Jerk,100,4
Gavin Bendolph,22.0,Senior,170.0,1.56,1.85,2.74,3.21,0.84,0.68,9.35,Elite,Weak Clean & Jerk,101,4
C.T. Thomas,36.0,Masters I,185.0,1.38,1.76,2.7,3.51,0.78,0.65,9.35,Elite,Weak Clean & Jerk,102,4
Maximilian Mormont,36.0,Masters I,228.0,1.42,1.88,2.9,3.14,0.76,0.65,9.34,Elite,Weak Clean & Jerk,103,4
Darian Barnett,21.0,Senior,180.0,1.5,1.89,3.17,2.78,0.79,0.6,9.33,Elite,Weak Clean & Jerk,104,4
Darian Barnett,21.0,Senior,180.0,1.42,1.83,2.92,3.17,0.77,0.63,9.33,Elite,Weak Clean & Jerk,104,4
Gerald Cawelti,24.0,Senior,169.0,1.54,2.04,2.75,2.99,0.75,0.74,9.32,Elite,No Major Imbalance,106,4
Josh Leonardis,27.0,Senior,220.0,1.52,1.9,2.85,3.0,0.8,0.67,9.27,Elite,Weak Clean & Jerk,107,4
Marcelo Bruno,22.0,Senior,203.0,1.52,1.79,2.82,3.14,0.85,0.63,9.27,Elite,Weak Clean & Jerk,108,4
Kevin Scholtz,21.0,Senior,163.0,1.66,1.99,2.85,2.76,0.83,0.7,9.26,Elite,Weak Clean & Jerk,109,4
Louis Arnold,21.0,Senior,190.0,1.34,1.71,2.97,3.24,0.78,0.58,9.26,Elite,Weak Clean & Jerk,110,4
Matt Nolan,28.0,Senior,208.0,1.32,1.56,2.88,3.49,0.85,0.54,9.25,Elite,Weak Clean & Jerk,111,4
Paul Buono,24.0,Senior,165.0,1.55,2.0,2.67,3.03,0.77,0.75,9.24,Elite,No Major Imbalance,112,4
Ben Barnes,24.0,Senior,170.0,1.68,1.94,2.68,2.94,0.86,0.73,9.24,Elite,No Major Imbalance,113,4
Cameron Knight,21.0,Senior,175.0,1.4,1.86,2.63,3.34,0.75,0.71,9.23,Elite,No Major Imbalance,114,4
Andrey Kryzhanovskiy,30.0,Senior,177.0,1.37,1.75,2.99,3.11,0.79,0.58,9.22,Elite,Weak Clean & Jerk,115,4
Nick Dondzila,22.0,Senior,170.0,1.56,2.02,2.57,3.05,0.77,0.79,9.2,Elite,No Major Imbalance,116,4
Jamie Osborne,34.0,Senior,143.0,1.78,2.08,2.7,2.64,0.85,0.77,9.2,Elite,No Major Imbalance,117,4
Greg McQuaid,45.0,Masters I,180.0,1.5,2.14,2.69,2.86,0.7,0.79,9.19,Elite,No Major Imbalance,118,4
Bilaal Broadway,45.0,Masters I,167.0,1.56,1.89,2.54,3.2,0.83,0.74,9.19,Elite,No Major Imbalance,119,4
Mark Nelson,25.0,Senior,185.0,1.54,1.97,2.57,3.11,0.78,0.77,9.19,Elite,No Major Imbalance,120,4
Jacob Marinez,23.0,Senior,160.0,1.66,2.0,2.44,3.09,0.83,0.82,9.19,Elite,No Major Imbalance,121,5
Rodrigo Valenzuela,30.0,Senior,165.0,1.54,2.01,2.7,2.94,0.77,0.74,9.18,Elite,No Major Imbalance,122,5
