name,age,age_group,bodyweight,snatch_bw,candj_bw,squat_bw,deadlift_bw,snatch_to_cj,cj_to_squat,strength_score,snatch_level,weakness_flag,overall_rank,percentile_rank
Raphael Gauthier-Marchand,30.0,Senior,205.0,1.22,1.54,2.17,2.51,0.79,0.71,7.44,Advanced,No Major Imbalance,1480,50
Jacob Wellock,23.0,Senior,203.0,1.31,1.53,2.22,2.39,0.85,0.69,7.44,Elite,Weak Clean & Jerk,1482,50
Andrew Dodd,24.0,Senior,199.0,1.38,1.58,2.19,2.29,0.87,0.72,7.44,Elite,No Major Imbalance,1483,50
Tyler Aldridge,24.0,Senior,195.0,1.33,1.56,2.05,2.49,0.85,0.76,7.44,Elite,No Major Imbalance,1484,50
Bryan Boorstein,32.0,Senior,195.0,1.31,1.51,1.97,2.64,0.86,0.77,7.44,Elite,No Major Imbalance,1484,50
Aaron Schupp,32.0,Senior,189.0,1.3,1.61,2.12,2.41,0.8,0.76,7.43,Elite,No Major Imbalance,1486,50
George Rodriguez,30.0,Senior,187.0,1.34,1.6,2.11,2.38,0.83,0.76,7.43,Elite,No Major Imbalance,1487,50
Nathan Wiese,31.0,Senior,187.0,1.3,1.48,2.01,2.65,0.88,0.74,7.43,Elite,No Major Imbalance,1487,50
Sean Hardwick,27.0,Senior,187.0,1.3,1.59,2.06,2.48,0.82,0.77,7.43,Elite,No Major Imbalance,1487,50
Ernest Henry,32.0,Senior,185.0,1.32,1.59,2.11,2.41,0.83,0.76,7.43,Elite,No Major Imbalance,1490,50
Andrew Stanton,25.0,Senior,220.0,1.18,1.52,2.25,2.48,0.78,0.68,7.43,Advanced,Weak Clean & Jerk,1491,50
Ethan Pinter,19.0,Senior,183.0,1.34,1.5,2.1,2.49,0.89,0.71,7.43,Elite,No Major Imbalance,1492,50
Sam Burrell,28.0,Senior,205.0,1.34,1.65,2.07,2.37,0.81,0.8,7.43,Elite,No Major Imbalance,1493,50
Chris Brown,31.0,Senior,210.0,1.26,1.55,2.12,2.5,0.82,0.73,7.43,Elite,No Major Imbalance,1494,50
Matt Kolozsvary,28.0,Senior,210.0,1.21,1.4,2.21,2.6,0.86,0.63,7.43,Advanced,Weak Clean & Jerk,1494,50
Tal Young,32.0,Senior,210.0,1.19,1.6,2.21,2.43,0.75,0.72,7.43,Advanced,No Major Imbalance,1494,50
Manny Vidal,28.0,Senior,206.0,1.26,1.53,2.21,2.43,0.83,0.69,7.43,Elite,Weak Clean & Jerk,1497,50
Chris Strohsahl,36.0,Masters I,204.0,1.25,1.52,1.99,2.67,0.82,0.77,7.43,Advanced,No Major Imbalance,1498,50
Nicholas Saccente,22.0,Senior,240.0,1.2,1.56,2.2,2.46,0.77,0.71,7.42,Advanced,No Major Imbalance,1499,50
Jerrod Babik,27.0,Senior,200.0,1.23,1.52,2.17,2.5,0.8,0.7,7.42,Advanced,No Major Imbalance,1499,50
Justin Riley,34.0,Senior,193.0,1.25,1.56,1.99,2.62,0.8,0.78,7.42,Elite,No Major Imbalance,1501,51
Antonio Fernández Rodríguez,19.0,Senior,205.0,1.29,1.51,2.15,2.47,0.86,0.7,7.42,Elite,No Major Imbalance,1502,51
Batuque Iribarren,27.0,Senior,205.0,1.29,1.51,2.15,2.47,0.86,0.7,7.42,Elite,No Major Imbalance,1502,51
Michael Maritz Jr.,27.0,Senior,205.0,1.29,1.51,2.26,2.37,0.86,0.67,7.42,Elite,Weak Clean & Jerk,1502,51
Bo Seamon,27.0,Senior,205.0,1.22,1.5,2.2,2.51,0.81,0.68,7.42,Advanced,Weak Clean & Jerk,1502,51
Claude Gulley,30.0,Senior,196.0,1.25,1.56,2.19,2.42,0.8,0.71,7.42,Advanced,No Major Imbalance,1506,51
Justin Williams,33.0,Senior,194.0,1.31,1.65,2.16,2.29,0.8,0.76,7.42,Elite,No Major Imbalance,1507,51
Blake Sewell,29.0,Senior,225.0,1.13,1.44,2.16,2.69,0.78,0.67,7.42,Advanced,Weak Clean & Jerk,1508,51
Troy Stinson,25.0,Senior,190.0,1.37,1.58,2.24,2.24,0.87,0.71,7.42,Elite,No Major Imbalance,1509,51
Jared San Nicolas,30.0,Senior,215.0,1.33,1.6,2.16,2.33,0.83,0.74,7.42,Elite,No Major Imbalance,1510,51
Josh Dilworth,25.0,Senior,215.0,1.28,1.56,2.05,2.53,0.82,0.76,7.42,Elite,No Major Imbalance,1510,51
Dylan Kelly,22.0,Senior,215.0,1.26,1.65,2.07,2.44,0.76,0.8,7.42,Elite,No Major Imbalance,1510,51
Gary Stallings Jr,30.0,Senior,215.0,1.23,1.53,2.21,2.44,0.8,0.69,7.42,Advanced,Weak Clean & Jerk,1510,51
Jason Thomas,31.0,Senior,208.0,1.31,1.63,2.19,2.28,0.8,0.75,7.42,Elite,No Major Imbalance,1514,51
Travis Brighouse,25.0,Senior,220.0,1.15,1.3,2.25,2.7,0.89,0.58,7.42,Advanced,Weak Clean & Jerk,1515,51
Austin Shockey,24.0,Senior,180.0,1.36,1.58,2.17,2.31,0.86,0.73,7.42,Elite,No Major Imbalance,1516,51
ben siegert,32.0,Senior,180.0,1.35,1.59,2.14,2.33,0.85,0.74,7.42,Elite,No Major Imbalance,1516,51
Rasmus Wisbech Andersen,22.0,Senior,209.0,1.34,1.6,2.18,2.3,0.84,0.74,7.42,Elite,No Major Imbalance,1518,51
Zach Galloway,24.0,Senior,205.0,1.32,1.61,2.27,2.22,0.82,0.71,7.41,Elite,No Major Imbalance,1519,51
Eric Schenck,32.0,Senior,205.0,1.2,1.59,2.2,2.44,0.75,0.72,7.41,Advanced,No Major Imbalance,1519,51
Daniel O'Brien,24.0,Senior,175.0,1.4,1.58,2.09,2.34,0.88,0.76,7.41,Elite,No Major Imbalance,1521,51
Ryne Bransford,31.0,Senior,195.0,1.33,1.59,2.05,2.44,0.84,0.78,7.41,Elite,No Major Imbalance,1522,51
Josh Phillips,29.0,Senior,198.0,1.28,1.56,2.12,2.45,0.82,0.74,7.41,Elite,No Major Imbalance,1523,51
Mattia Stendahl,27.0,Senior,198.0,1.28,1.45,2.12,2.56,0.89,0.68,7.41,Elite,Weak Clean & Jerk,1523,51
Mike Fox,24.0,Senior,198.0,1.23,1.62,2.34,2.23,0.76,0.69,7.41,Advanced,Weak Clean & Jerk,1523,51
Ruan Duvenage,26.0,Senior,198.0,1.23,1.56,2.12,2.51,0.79,0.74,7.41,Advanced,No Major Imbalance,1523,51
Greg Lanctot,29.0,Senior,189.0,1.32,1.48,2.2,2.41,0.89,0.67,7.41,Elite,Weak Clean & Jerk,1527,51
Troy Williamson,31.0,Senior,212.0,1.16,1.34,2.19,2.71,0.86,0.61,7.41,Advanced,Weak Clean & Jerk,1528,51
Robert Moure,25.0,Senior,185.0,1.32,1.7,2.19,2.19,0.78,0.78,7.41,Elite,No Major Imbalance,1529,51
Ande Paul-Hus,28.0,Senior,185.0,1.32,1.59,2.19,2.3,0.83,0.73,7.41,Elite,No Major Imbalance,1529,51
Justin Janda,23.0,Senior,185.0,1.3,1.65,2.08,2.38,0.79,0.79,7.41,Elite,No Major Imbalance,1529,52
Blake Russell,24.0,Senior,210.0,1.19,1.55,2.21,2.45,0.77,0.7,7.4,Advanced,Weak Clean & Jerk,1532,52
Easton Evans,22.0,Senior,235.0,1.04,1.17,2.55,2.64,0.89,0.46,7.4,Advanced,Weak Clean & Jerk,1533,52
Iain Holland,33.0,Senior,206.0,1.21,1.56,2.01,2.62,0.77,0.78,7.4,Advanced,No Major Imbalance,1534,52
Garth Cooke,37.0,Masters I,227.0,1.12,1.48,2.4,2.4,0.76,0.61,7.4,Advanced,Weak Clean & Jerk,1535,52
Wolfgang Davis,20.0,Senior,225.0,1.16,1.56,2.02,2.67,0.74,0.77,7.4,Advanced,No Major Imbalance,1536,52
Aaron Burks,29.0,Senior,200.0,1.23,1.55,2.13,2.5,0.79,0.73,7.4,Advanced,No Major Imbalance,1536,52
Kaylor Hasbargen,25.0,Senior,175.0,1.4,1.66,2.0,2.34,0.84,0.83,7.4,Elite,No Major Imbalance,1536,52
Kevin Murray,28.0,Senior,198.0,1.24,1.57,2.07,2.53,0.79,0.76,7.4,Advanced,No Major Imbalance,1539,52
Kyle Zozaya,23.0,Senior,194.0,1.24,1.68,2.14,2.35,0.74,0.78,7.4,Advanced,No Major Imbalance,1540,52
dustin shaffer,33.0,Senior,230.0,1.2,1.53,2.17,2.49,0.79,0.7,7.4,Advanced,No Major Imbalance,1541,52
Jonathan Maxwell,30.0,Senior,215.0,1.23,1.51,2.09,2.56,0.82,0.72,7.4,Advanced,No Major Imbalance,1542,52
Kenny Younger,26.0,Senior,215.0,1.14,1.51,2.35,2.4,0.75,0.64,7.4,Advanced,Weak Clean & Jerk,1542,52
Zach Filer,30.0,Senior,205.0,1.27,1.44,2.12,2.56,0.88,0.68,7.4,Elite,Weak Clean & Jerk,1544,52
Benny Collins,27.0,Senior,190.0,1.35,1.53,1.98,2.53,0.88,0.77,7.39,Elite,No Major Imbalance,1545,52
Samuel Kwant,19.0,Senior,190.0,1.29,1.58,2.18,2.34,0.82,0.72,7.39,Elite,No Major Imbalance,1545,52
Stafford O'Leary,26.0,Senior,188.0,1.29,1.64,2.11,2.35,0.79,0.78,7.39,Elite,No Major Imbalance,1547,52
Arnaud Gisquet,31.0,Senior,194.0,1.37,1.59,2.27,2.16,0.86,0.7,7.39,Elite,No Major Imbalance,1548,52
James Taylor,27.0,Senior,189.0,1.3,1.59,2.18,2.33,0.82,0.73,7.39,Elite,No Major Imbalance,1549,52
Trevor Rutkowski,27.0,Senior,230.0,1.2,1.46,2.28,2.46,0.82,0.64,7.39,Advanced,Weak Clean & Jerk,1550,52
Alex Bell,30.0,Senior,230.0,1.11,1.46,2.37,2.46,0.76,0.61,7.39,Advanced,Weak Clean & Jerk,1550,52
Conor Nugent,21.0,Senior,205.0,1.34,1.63,2.02,2.39,0.82,0.81,7.39,Elite,No Major Imbalance,1552,52
Dallas Walden,30.0,Senior,205.0,1.32,1.63,2.07,2.37,0.81,0.79,7.39,Elite,No Major Imbalance,1552,52
Jason Rook,27.0,Senior,205.0,1.24,1.54,2.2,2.41,0.81,0.7,7.39,Advanced,No Major Imbalance,1552,52
Tommy Kasper,31.0,Senior,205.0,1.24,1.63,2.12,2.39,0.76,0.77,7.39,Advanced,No Major Imbalance,1552,52
John McKay,42.0,Masters I,205.0,1.2,1.51,2.22,2.46,0.79,0.68,7.39,Advanced,Weak Clean & Jerk,1552,52
Chase Coles,31.0,Senior,203.0,1.2,1.52,2.17,2.5,0.79,0.7,7.39,Advanced,No Major Imbalance,1557,52
Jason Sparks,34.0,Senior,245.0,1.0,1.33,2.1,2.96,0.75,0.63,7.39,Intermediate,Weak Clean & Jerk,1558,52
Gabe Swaba,20.0,Senior,197.0,1.27,1.55,1.95,2.61,0.82,0.79,7.39,Elite,No Major Imbalance,1559,52
Alex Sok,26.0,Senior,174.0,1.47,1.61,2.1,2.21,0.91,0.77,7.39,Elite,No Major Imbalance,1560,52
Jon Colborn,28.0,Senior,195.0,1.28,1.54,2.03,2.54,0.83,0.76,7.38,Elite,No Major Imbalance,1561,53
Adam Vineyard,31.0,Senior,195.0,1.26,1.64,2.15,2.33,0.77,0.76,7.38,Elite,No Major Imbalance,1561,53
Zander de Leon,37.0,Masters I,195.0,1.26,1.69,2.1,2.33,0.74,0.8,7.38,Elite,No Major Imbalance,1561,53
Jason Cabal,36.0,Masters I,195.0,1.26,1.62,2.08,2.44,0.78,0.78,7.38,Elite,No Major Imbalance,1561,53
Tom Duer,28.0,Senior,227.0,1.26,1.63,2.27,2.22,0.77,0.72,7.38,Elite,No Major Imbalance,1565,53
Will Blackburn,29.0,Senior,235.0,1.15,1.55,2.13,2.55,0.74,0.73,7.38,Advanced,No Major Imbalance,1566,53
Doug Mitchell,29.0,Senior,189.0,1.32,1.56,2.25,2.25,0.85,0.69,7.38,Elite,Weak Clean & Jerk,1567,53
Brian Hallam,23.0,Senior,210.0,1.17,1.5,2.12,2.6,0.78,0.71,7.38,Advanced,No Major Imbalance,1567,53
Aaron Knisley,23.0,Senior,208.0,1.2,1.56,2.14,2.48,0.77,0.73,7.38,Advanced,No Major Imbalance,1569,53
Matthew Witt,30.0,Senior,187.0,1.31,1.52,2.11,2.43,0.86,0.72,7.38,Elite,No Major Imbalance,1570,53
Luke Fetch,33.0,Senior,185.0,1.38,1.68,2.03,2.3,0.82,0.83,7.38,Elite,No Major Imbalance,1571,53
Dan Lewis,25.0,Senior,185.0,1.32,1.57,1.97,2.51,0.84,0.79,7.38,Elite,No Major Imbalance,1571,53
Anthony James,30.0,Senior,202.0,1.19,1.41,2.15,2.62,0.84,0.66,7.38,Advanced,Weak Clean & Jerk,1573,53
Adam Shibuya,21.0,Senior,200.0,1.27,1.57,2.02,2.5,0.81,0.78,7.38,Elite,No Major Imbalance,1574,53
Kevin Pendleton,21.0,Senior,179.0,1.37,1.54,2.09,2.37,0.89,0.73,7.37,Elite,No Major Imbalance,1575,53
Alexey Barymov,26.0,Senior,196.0,1.3,1.58,2.14,2.36,0.82,0.74,7.37,Elite,No Major Imbalance,1576,53
Hunter Waldman,24.0,Senior,215.0,1.19,1.51,2.05,2.63,0.78,0.74,7.37,Advanced,No Major Imbalance,1577,53
James Palmer,24.0,Senior,215.0,1.14,1.42,2.33,2.49,0.8,0.61,7.37,Advanced,Weak Clean & Jerk,1577,53
Israel Mercado,32.0,Senior,215.0,1.14,1.47,2.33,2.44,0.78,0.63,7.37,Advanced,Weak Clean & Jerk,1577,53
Dustin Dillehay,27.0,Senior,194.0,1.26,1.62,2.29,2.19,0.78,0.71,7.37,Elite,No Major Imbalance,1580,53
Jordan Wallin,29.0,Senior,190.0,1.39,1.61,1.97,2.39,0.87,0.81,7.37,Elite,No Major Imbalance,1581,53
Jesse Schrader,31.0,Senior,207.0,1.18,1.52,2.05,2.61,0.78,0.74,7.37,Advanced,No Major Imbalance,1582,53
Matt Crum,30.0,Senior,205.0,1.2,1.54,2.17,2.46,0.78,0.71,7.37,Advanced,No Major Imbalance,1583,53
STUART DICKSON,29.0,Senior,200.0,1.3,1.54,2.25,2.27,0.84,0.68,7.37,Elite,Weak Clean & Jerk,1584,53
Kennedy Carey,23.0,Senior,203.0,1.38,1.65,1.87,2.46,0.84,0.88,7.36,Elite,No Major Imbalance,1585,53
Chris Stang,24.0,Senior,184.0,1.33,1.63,2.04,2.36,0.82,0.8,7.36,Elite,No Major Imbalance,1586,53
Nicholas Rocco,26.0,Senior,220.0,1.3,1.61,1.98,2.48,0.8,0.82,7.36,Elite,No Major Imbalance,1587,53
Zach Williams,23.0,Senior,220.0,1.25,1.52,1.98,2.61,0.82,0.77,7.36,Advanced,No Major Imbalance,1587,53
Charlie Hulbert,26.0,Senior,191.0,1.34,1.57,2.33,2.12,0.85,0.67,7.36,Elite,Weak Clean & Jerk,1589,53
Joshua Trahan,33.0,Senior,214.0,1.24,1.47,2.22,2.43,0.84,0.66,7.36,Advanced,Weak Clean & Jerk,1590,53
constantino Montes,29.0,Senior,195.0,1.28,1.54,1.97,2.56,0.83,0.78,7.36,Elite,No Major Imbalance,1591,54
Jonathon Humberstone,28.0,Senior,195.0,1.26,1.62,1.92,2.56,0.78,0.84,7.36,Elite,No Major Imbalance,1591,54
Steve Cristini,24.0,Senior,195.0,1.26,1.62,2.05,2.44,0.78,0.79,7.36,Elite,No Major Imbalance,1591,54
Sean Matheson,26.0,Senior,195.0,1.26,1.62,2.15,2.33,0.78,0.75,7.36,Elite,No Major Imbalance,1591,54
Aj Zambruno,26.0,Senior,195.0,1.26,1.56,1.9,2.64,0.8,0.82,7.36,Elite,No Major Imbalance,1591,54
Chris Baniewicz,33.0,Senior,195.0,1.23,1.62,2.08,2.44,0.76,0.78,7.36,Advanced,No Major Imbalance,1591,54
Brian Carr,26.0,Senior,212.0,1.27,1.53,2.03,2.52,0.83,0.76,7.36,Elite,No Major Imbalance,1597,54
Jeff Hunt,29.0,Senior,190.0,1.37,1.62,2.18,2.18,0.84,0.74,7.36,Elite,No Major Imbalance,1598,54
Damian Nielson,38.0,Masters I,210.0,1.17,1.5,2.19,2.5,0.78,0.68,7.36,Advanced,Weak Clean & Jerk,1599,54
Jordan Hayward,20.0,Senior,191.0,1.41,1.65,1.91,2.38,0.86,0.86,7.36,Elite,No Major Imbalance,1600,54
Trevor James,22.0,Senior,225.0,1.27,1.53,2.16,2.4,0.83,0.71,7.36,Elite,No Major Imbalance,1601,54
Joseph Misinonile,29.0,Senior,214.0,1.24,1.49,2.38,2.24,0.83,0.63,7.36,Advanced,Weak Clean & Jerk,1602,54
Baris Halitoglu,27.0,Senior,189.0,1.34,1.58,1.98,2.45,0.85,0.79,7.35,Elite,No Major Imbalance,1603,54
Peter Egyed,28.0,Senior,207.0,1.17,1.41,2.11,2.66,0.84,0.67,7.35,Advanced,Weak Clean & Jerk,1604,54
Luke Strohl,23.0,Senior,185.0,1.32,1.51,2.16,2.35,0.88,0.7,7.35,Elite,No Major Imbalance,1605,54
Lamar Gordon,29.0,Senior,200.0,1.38,1.57,2.08,2.33,0.87,0.76,7.35,Elite,No Major Imbalance,1606,54
Jonas Grabarnick,41.0,Masters I,200.0,1.23,1.48,2.13,2.52,0.83,0.69,7.35,Advanced,Weak Clean & Jerk,1606,54
Shaun Kneafsey,24.0,Senior,215.0,1.28,1.65,2.16,2.26,0.77,0.76,7.35,Elite,No Major Imbalance,1608,54
Anthony Davis,20.0,Senior,215.0,1.23,1.51,2.16,2.44,0.82,0.7,7.35,Advanced,Weak Clean & Jerk,1608,54
Michael Crofford,34.0,Senior,215.0,1.19,1.65,2.16,2.35,0.72,0.76,7.35,Advanced,No Major Imbalance,1608,54
Joe Marthaller,34.0,Senior,215.0,1.14,1.47,2.12,2.63,0.78,0.69,7.35,Advanced,Weak Clean & Jerk,1608,54
Brad King,33.0,Senior,198.0,1.31,1.67,1.97,2.4,0.79,0.85,7.35,Elite,No Major Imbalance,1612,54
mark hardy,26.0,Senior,230.0,1.15,1.48,2.09,2.63,0.78,0.71,7.35,Advanced,No Major Imbalance,1613,54
David Turner,26.0,Senior,211.0,1.16,1.61,2.2,2.37,0.72,0.73,7.35,Advanced,No Major Imbalance,1614,54
Cory Gibson,21.0,Senior,209.0,1.27,1.56,2.11,2.42,0.82,0.74,7.34,Elite,No Major Imbalance,1615,54
Bryce Wince,19.0,Senior,192.0,1.33,1.74,2.06,2.21,0.76,0.85,7.34,Elite,No Major Imbalance,1616,54
Hans Vollers,32.0,Senior,207.0,1.18,1.52,2.25,2.39,0.78,0.68,7.34,Advanced,Weak Clean & Jerk,1617,54
Henry Park,24.0,Senior,190.0,1.29,1.47,2.18,2.39,0.88,0.67,7.34,Elite,Weak Clean & Jerk,1618,54
joshua bednorz,27.0,Senior,190.0,1.29,1.45,2.13,2.47,0.89,0.68,7.34,Elite,Weak Clean & Jerk,1618,54
Jonathan Medina,31.0,Senior,190.0,1.26,1.61,2.03,2.45,0.79,0.79,7.34,Elite,No Major Imbalance,1618,54
Josh Hill,24.0,Senior,205.0,1.27,1.41,1.98,2.68,0.9,0.72,7.34,Elite,No Major Imbalance,1621,55
Dan Studer,34.0,Senior,205.0,1.24,1.44,2.22,2.44,0.86,0.65,7.34,Advanced,Weak Clean & Jerk,1621,55
Chris Stowe,29.0,Senior,205.0,1.22,1.61,2.24,2.27,0.76,0.72,7.34,Advanced,No Major Imbalance,1621,55
Brian Holley,27.0,Senior,220.0,1.25,1.59,2.18,2.32,0.79,0.73,7.34,Advanced,No Major Imbalance,1624,55
Joey Naig,23.0,Senior,203.0,1.21,1.55,2.22,2.36,0.78,0.7,7.34,Advanced,No Major Imbalance,1625,55
Matt Powers,32.0,Senior,214.0,1.31,1.59,2.17,2.27,0.82,0.73,7.34,Elite,No Major Imbalance,1626,55
Brian Cox,26.0,Senior,195.0,1.38,1.62,2.08,2.26,0.86,0.78,7.33,Elite,No Major Imbalance,1627,55
Jackson Minor,18.0,Senior,195.0,1.36,1.72,2.08,2.18,0.79,0.83,7.33,Elite,No Major Imbalance,1627,55
Avery Hammett,27.0,Senior,210.0,1.23,1.58,2.26,2.27,0.78,0.7,7.33,Advanced,Weak Clean & Jerk,1627,55
Adam Daugherty,31.0,Senior,195.0,1.28,1.62,2.1,2.33,0.79,0.77,7.33,Elite,No Major Imbalance,1627,55
Michael Sabato,26.0,Senior,221.0,1.15,1.45,2.31,2.42,0.8,0.63,7.33,Advanced,Weak Clean & Jerk,1631,55
Kelsey Davis,24.0,Senior,204.0,1.2,1.5,2.16,2.48,0.8,0.69,7.33,Advanced,Weak Clean & Jerk,1632,55
Shane Hanson,29.0,Senior,189.0,1.3,1.59,1.98,2.46,0.82,0.8,7.33,Elite,No Major Imbalance,1633,55
Greg Mings,31.0,Senior,189.0,1.3,1.61,2.04,2.38,0.8,0.79,7.33,Elite,No Major Imbalance,1633,55
Shane Concepcion,21.0,Senior,189.0,1.27,1.61,2.25,2.2,0.79,0.72,7.33,Elite,No Major Imbalance,1633,55
Daniel Tinitali,26.0,Senior,226.0,1.33,1.61,2.1,2.29,0.82,0.77,7.33,Elite,No Major Imbalance,1636,55
Phillip Guillot,26.0,Senior,205.0,1.28,1.66,2.05,2.34,0.77,0.81,7.33,Elite,No Major Imbalance,1637,55
Scott Mackenzie,31.0,Senior,196.0,1.3,1.52,2.04,2.47,0.85,0.75,7.33,Elite,No Major Imbalance,1638,55
Dan Bittner,26.0,Senior,230.0,1.15,1.48,2.07,2.63,0.78,0.72,7.33,Advanced,No Major Imbalance,1639,55
Hunter Owen,29.0,Senior,215.0,1.19,1.51,2.14,2.49,0.78,0.71,7.33,Advanced,No Major Imbalance,1640,55
sam jay,25.0,Senior,200.0,1.38,1.6,2.02,2.33,0.86,0.79,7.33,Elite,No Major Imbalance,1641,55
Aaron Berg,26.0,Senior,200.0,1.25,1.57,2.13,2.38,0.79,0.74,7.33,Advanced,No Major Imbalance,1641,55
Mark Wine,29.0,Senior,200.0,1.23,1.57,2.02,2.5,0.78,0.78,7.33,Advanced,No Major Imbalance,1641,55
Cole Shivers,18.0,Senior,185.0,1.41,1.62,1.97,2.32,0.87,0.82,7.32,Elite,No Major Imbalance,1644,55
Clayton Blank,23.0,Senior,185.0,1.32,1.7,1.86,2.43,0.78,0.91,7.32,Elite,No Major Imbalance,1644,55
Tyler Layne,24.0,Senior,185.0,1.3,1.54,2.08,2.41,0.84,0.74,7.32,Elite,No Major Imbalance,1644,55
Stephen Besser,31.0,Senior,198.0,1.24,1.54,2.15,2.4,0.8,0.72,7.32,Advanced,No Major Imbalance,1647,55
Keith Van Wickler,31.0,Senior,209.0,1.17,1.51,2.15,2.49,0.78,0.7,7.32,Advanced,No Major Imbalance,1648,55
David Buitenwerf,33.0,Senior,195.0,1.29,1.56,2.08,2.38,0.83,0.75,7.32,Elite,No Major Imbalance,1649,55
Brent Ericksen,35.0,Masters I,205.0,1.34,1.49,2.22,2.27,0.9,0.67,7.32,Elite,Weak Clean & Jerk,1650,55
Blake Bender,25.0,Senior,205.0,1.32,1.61,1.95,2.44,0.82,0.82,7.32,Elite,No Major Imbalance,1650,56
Corey Bauer,24.0,Senior,205.0,1.27,1.61,2.0,2.44,0.79,0.8,7.32,Elite,No Major Imbalance,1650,56
Jared Ruffing,26.0,Senior,205.0,1.24,1.54,2.07,2.46,0.81,0.74,7.32,Advanced,No Major Imbalance,1650,56
Graciano Rubio,23.0,Senior,246.0,1.04,1.28,2.46,2.54,0.81,0.52,7.32,Advanced,Weak Clean & Jerk,1650,56
daimino stewart,29.0,Senior,205.0,1.2,1.63,2.12,2.37,0.73,0.77,7.32,Advanced,No Major Imbalance,1650,56
Tyler Taber,26.0,Senior,205.0,1.2,1.39,2.07,2.66,0.86,0.67,7.32,Advanced,Weak Clean & Jerk,1650,56
Magnus Thielen,29.0,Senior,205.0,1.19,1.51,2.15,2.47,0.79,0.7,7.32,Advanced,No Major Imbalance,1650,56
Ryan Hill,29.0,Senior,196.0,1.24,1.58,2.03,2.47,0.79,0.78,7.32,Advanced,No Major Imbalance,1658,56
Nicky Hoberman,25.0,Senior,190.0,1.29,1.5,2.18,2.34,0.86,0.69,7.32,Elite,Weak Clean & Jerk,1659,56
Gigord Yohann,26.0,Senior,187.0,1.36,1.65,2.06,2.24,0.82,0.8,7.32,Elite,No Major Imbalance,1660,56
alex scott,28.0,Senior,197.0,1.37,1.6,2.13,2.21,0.85,0.75,7.31,Elite,No Major Imbalance,1661,56
Michael Whetstone,29.0,Senior,199.0,1.23,1.51,2.14,2.44,0.82,0.71,7.31,Advanced,No Major Imbalance,1662,56
Attila Bakó,44.0,Masters I,212.0,1.23,1.51,2.29,2.29,0.81,0.66,7.31,Advanced,Weak Clean & Jerk,1663,56
Craig Stocker,30.0,Senior,187.0,1.29,1.58,2.06,2.38,0.82,0.77,7.31,Elite,No Major Imbalance,1664,56
Carlos Ramirez,22.0,Senior,197.0,1.29,1.65,2.18,2.18,0.78,0.76,7.31,Elite,No Major Imbalance,1665,56
Doug Hildreth,29.0,Senior,210.0,1.21,1.5,2.02,2.57,0.81,0.74,7.31,Advanced,No Major Imbalance,1666,56
Jeremy Murdock,36.0,Masters I,210.0,1.19,1.5,2.1,2.52,0.79,0.72,7.31,Advanced,No Major Imbalance,1666,56
Lane Montgomery,33.0,Senior,210.0,1.17,1.55,2.14,2.45,0.75,0.72,7.31,Advanced,No Major Imbalance,1666,56
Olivier Martin,33.0,Senior,208.0,1.23,1.61,2.04,2.43,0.76,0.79,7.31,Advanced,No Major Imbalance,1669,56
Randy Jones,27.0,Senior,195.0,1.26,1.46,2.03,2.56,0.86,0.72,7.31,Elite,No Major Imbalance,1669,56
Earl Balthazar,25.0,Senior,195.0,1.26,1.38,2.23,2.44,0.91,0.62,7.31,Elite,Weak Clean & Jerk,1669,56
David Foley,32.0,Senior,195.0,1.26,1.62,2.13,2.31,0.78,0.76,7.31,Elite,No Major Imbalance,1669,56
James Herrington,32.0,Senior,217.0,1.15,1.36,2.19,2.6,0.85,0.62,7.3,Advanced,Weak Clean & Jerk,1673,56
Brent Maier,43.0,Masters I,204.0,1.25,1.5,2.03,2.52,0.84,0.73,7.3,Advanced,No Major Imbalance,1674,56
Christopher Guerrero,30.0,Senior,198.0,1.24,1.49,2.02,2.56,0.83,0.74,7.3,Advanced,No Major Imbalance,1675,56
Taylor Clark,27.0,Senior,215.0,1.28,1.51,2.16,2.35,0.85,0.7,7.3,Elite,Weak Clean & Jerk,1676,56
Crockett Ladd,33.0,Senior,215.0,1.21,1.49,2.23,2.37,0.81,0.67,7.3,Advanced,Weak Clean & Jerk,1676,56
Casey Carpenter,23.0,Senior,215.0,1.16,1.51,2.09,2.53,0.77,0.72,7.3,Advanced,No Major Imbalance,1676,56
Evan Johnston,23.0,Senior,200.0,1.27,1.57,1.93,2.52,0.81,0.82,7.3,Elite,No Major Imbalance,1679,56
Joe Johnson,23.0,Senior,200.0,1.27,1.6,2.02,2.4,0.8,0.79,7.3,Elite,No Major Imbalance,1679,56
David Bradshaw,26.0,Senior,200.0,1.27,1.52,2.02,2.48,0.84,0.75,7.3,Elite,No Major Imbalance,1679,57
Tom Oehm,24.0,Senior,200.0,1.27,1.5,1.95,2.58,0.85,0.77,7.3,Elite,No Major Imbalance,1679,57
Guillaume Gagnon,25.0,Senior,200.0,1.27,1.52,2.13,2.38,0.84,0.72,7.3,Elite,No Major Imbalance,1679,57
Ben Manganaro,26.0,Senior,187.0,1.31,1.6,2.06,2.33,0.82,0.78,7.3,Elite,No Major Imbalance,1684,57
Alain Davidson,28.0,Senior,198.0,1.31,1.59,2.15,2.25,0.83,0.74,7.3,Elite,No Major Imbalance,1685,57
